Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
15 1 -6.5599008 0.0 -31.2543 6.74637 -22.2539 336.34 -2722.76 335.799 -2727.43 0.0 335.799 -2727.43 -4.55178 -31.2543 -2427.437 3.55028 3.55028
15 2 -6.056138 0.0 -17.9907 6.80302 -20.3061 336.34 -2722.76 335.789 -2737.65 0.0 335.789 -2737.65 -7.26812 -17.9907 -2427.1196 5.50068 5.50068
15 3 -6.2525673 0.0 -27.6744 6.72634 -21.7671 336.34 -2722.76 335.834 -2727.54 0.0 335.834 -2727.54 -5.62209 -27.6744 -2425.0024 4.93131 4.93131
15 4 -6.1608257 0.0 -20.9083 6.90085 -22.7859 336.34 -2722.76 336.1 -2737.66 0.0 336.1 -2737.66 0.0411476 -20.9083 -2422.427 10.5186 10.5186
15 5 -6.159471 0.0 -20.8729 6.90227 -22.7971 336.34 -2722.76 336.099 -2737.7 0.0 336.099 -2737.7 0.05665065 -20.8729 -2422.417 10.5176 10.5176
15 6 -5.8089976 0.0 -18.6473 6.85195 -21.3137 336.34 -2722.76 335.667 -2733.34 0.0 335.667 -2733.34 -5.65657 -18.6473 -2421.977 8.13101 8.13101
15 7 -5.7917943 0.0 -15.9732 6.89142 -21.2359 336.34 -2722.76 336.111 -2737.74 0.0 336.111 -2737.74 -2.58639 -15.9732 -2420.1885 11.7731 11.7731
16 0 -7.0733232 0.0 -41.9157 6.66077 -21.971 336.34 -2722.76 334.079 -2716.53 0.0 334.079 -2716.53 -2.88945 -41.9157 -2427.256 -2.69989 -2.69989
16 1 -6.2672796 0.0 -30.1413 6.70505 -20.2333 336.34 -2722.76 334.135 -2719.84 0.0 334.135 -2719.84 -5.3164 -30.1413 -2421.1628 3.94531 3.94531
16 2 -6.705825 0.0 -37.0964 6.62371 -20.2186 336.34 -2722.76 333.95 -2716.08 0.0 333.95 -2716.08 0.569413 -37.0964 -2418.6572 5.38761 5.38761
16 3 -5.9353814 0.0 -25.0449 6.78077 -19.5097 336.34 -2722.76 333.783 -2720.91 0.0 333.783 -2720.91 -4.91297 -25.0449 -2417.0847 6.88001 6.88001
16 4 -5.9818044 0.0 -26.0481 6.79482 -19.1406 336.34 -2722.76 333.772 -2719.71 0.0 333.772 -2719.71 -4.87841 -26.0481 -2416.8645 6.32561 6.32561
17 0 -6.622106 0.0 -35.46 6.80816 -20.2328 336.34 -2722.76 335.541 -2719.43 0.0 335.541 -2719.43 -7.48431 -35.46 -2426.8333 -1.3805 -1.3805
17 1 -6.556885 0.0 -33.6157 6.81493 -20.3902 336.34 -2722.76 335.572 -2721.41 0.0 335.572 -2721.41 -7.00568 -33.6157 -2426.4592 -1.32243 -1.32243
17 2 -6.573101 0.0 -34.6261 6.80976 -20.3253 336.34 -2722.76 335.581 -2720.07 0.0 335.581 -2720.07 -7.20431 -34.6261 -2426.3193 -1.45702 -1.45702
17 3 -6.571497 0.0 -34.197 6.82235 -20.9699 336.34 -2722.76 335.599 -2721.36 0.0 335.599 -2721.36 -5.98049 -34.197 -2425.9385 -1.13368 -1.13368
17 4 -6.6851974 0.0 -37.0356 7.14779 -18.7246 336.34 -2722.76 335.339 -2715.68 0.0 335.339 -2715.68 -6.8425 -37.0356 -2424.2192 0.555414 0.555414
17 5 -6.6650743 0.0 -35.9102 7.0207 -20.0302 336.34 -2722.76 335.182 -2718.35 0.0 335.182 -2718.35 -4.48853 -35.9102 -2423.567 0.393469 0.393469
17 6 -5.937792 0.0 -31.6065 6.86839 -19.9323 336.34 -2722.76 334.738 -2712.57 0.0 334.738 -2712.57 -6.9305 -31.6065 -2416.3691 3.75328 3.75328
17 7 -5.92867 0.0 -31.4962 6.86958 -19.9381 336.34 -2722.76 334.741 -2712.6 0.0 334.741 -2712.6 -6.9568 -31.4962 -2416.312 3.76138 3.76138
17 8 -5.305709 0.0 -15.1416 7.04175 -20.46 336.34 -2722.76 335.584 -2729.26 0.0 335.584 -2729.26 -7.21828 -15.1416 -2416.036 4.39712 4.39712
18 0 -6.5862317 0.0 -34.2291 7.10588 -19.0401 336.34 -2722.76 335.073 -2718.37 0.0 335.073 -2718.37 -9.25549 -34.2291 -2426.7817 1.00794 1.00794
18 1 -6.6925573 0.0 -35.8914 7.11715 -20.0919 336.34 -2722.76 335.078 -2718.58 0.0 335.078 -2718.58 -6.57338 -35.8914 -2425.9668 1.49025 1.49025
18 2 -6.7500906 0.0 -37.7545 7.0738 -20.1012 336.34 -2722.76 334.912 -2716.46 0.0 334.912 -2716.46 -5.79821 -37.7545 -2425.1006 2.44225 2.44225
18 3 -6.445389 0.0 -33.2812 7.03143 -19.8859 336.34 -2722.76 335.251 -2718.77 0.0 335.251 -2718.77 -7.18002 -33.2812 -2423.9802 4.18762 4.18762
18 4 -6.4358563 0.0 -33.1285 7.03217 -19.8776 336.34 -2722.76 335.257 -2718.85 0.0 335.257 -2718.85 -7.22212 -33.1285 -2423.9436 4.19604 4.19604
